size,qsort,odd-even,double-selection
2850,0.000657,0.059351,0.031257
2860,0.000687,0.058699,0.030372
2870,0.000671,0.059765,0.030889
2880,0.000725,0.061153,0.031407
2890,0.000666,0.059327,0.030598
2900,0.000682,0.061713,0.031693
2910,0.000719,0.060545,0.037603
2920,0.000680,0.062202,0.032549
2930,0.000688,0.062472,0.032069
2940,0.000706,0.061916,0.031263
2950,0.000733,0.062566,0.032331
2960,0.000723,0.063698,0.034131
2970,0.000773,0.064901,0.033842
2980,0.000700,0.064947,0.033069
2990,0.000768,0.064439,0.034392
3000,0.000708,0.065329,0.032888
3010,0.000724,0.065489,0.033625
3020,0.000688,0.066804,0.034208
3030,0.000714,0.067207,0.034383
3040,0.000718,0.066216,0.034911
3050,0.000724,0.067556,0.035103
3060,0.000745,0.067497,0.034371
3070,0.000734,0.067999,0.034488
3080,0.000726,0.068584,0.038004
3090,0.000800,0.069847,0.035521
3100,0.000736,0.069245,0.035582
3110,0.000745,0.070384,0.035915
3120,0.000744,0.070725,0.037143
3130,0.000766,0.071575,0.036467
3140,0.000764,0.073096,0.037018
3150,0.000741,0.071903,0.037514
3160,0.000759,0.073162,0.037408
3170,0.000789,0.073993,0.037921
3180,0.000779,0.074265,0.038057
3190,0.000770,0.074276,0.037827
3200,0.000798,0.075668,0.037445
3210,0.000785,0.074089,0.039165
3220,0.000795,0.074752,0.038024
3230,0.000817,0.073865,0.038781
3240,0.000779,0.075592,0.039297
3250,0.000800,0.078255,0.040249
3260,0.000791,0.077325,0.039023
3270,0.000793,0.078026,0.039222
3280,0.000779,0.077497,0.042008
3290,0.000788,0.080211,0.040583
3300,0.000793,0.079786,0.041057
3310,0.000823,0.079935,0.041768
3320,0.000799,0.079794,0.041494
3330,0.000868,0.082066,0.041676
3340,0.000808,0.080901,0.041334
3350,0.000805,0.082702,0.042173
3360,0.000806,0.082370,0.042538
3370,0.000839,0.083133,0.041807
3380,0.000810,0.080907,0.042253
3390,0.000807,0.081882,0.042960
3400,0.000823,0.085099,0.044004
3410,0.000863,0.085054,0.042718
3420,0.000822,0.085763,0.043479
3430,0.000828,0.085414,0.044069
3440,0.000823,0.084875,0.044344
3450,0.000850,0.086568,0.043597
3460,0.000830,0.086973,0.045882
3470,0.000865,0.087758,0.044760
3480,0.000833,0.088093,0.045192
3490,0.000813,0.088669,0.045515
3500,0.000890,0.090641,0.045158
3510,0.000931,0.090104,0.046361
3520,0.000852,0.089634,0.044762
3530,0.000845,0.089580,0.045481
3540,0.000852,0.092928,0.046667
3550,0.000859,0.091061,0.047220
3560,0.000880,0.092768,0.046932
3570,0.000881,0.093346,0.047605
3580,0.000897,0.094853,0.048889
3590,0.000889,0.094266,0.047645
3600,0.000888,0.092304,0.047550
3610,0.000884,0.096439,0.047733
3620,0.000908,0.095743,0.049163
3630,0.000873,0.096508,0.048587
3640,0.000886,0.097076,0.048464
3650,0.000901,0.096878,0.048354
3660,0.000904,0.096332,0.050036
3670,0.000907,0.098150,0.049612
3680,0.000904,0.097914,0.050924
3690,0.000909,0.100199,0.049266
3700,0.000886,0.097608,0.050858
3710,0.000921,0.100002,0.050173
3720,0.000895,0.101330,0.052060
3730,0.000920,0.101488,0.051190
3740,0.000913,0.103101,0.051872
3750,0.000954,0.102168,0.052666
3760,0.000928,0.103520,0.052379
3770,0.000925,0.103061,0.052121
3780,0.000886,0.102986,0.051887
3790,0.000955,0.105788,0.053928
3800,0.000933,0.105063,0.053719
3810,0.000946,0.107238,0.053667
3820,0.000939,0.104412,0.054854
3830,0.000944,0.107061,0.055283
3840,0.000953,0.109589,0.055225
3850,0.000958,0.108942,0.055291
3860,0.000971,0.109148,0.053694
3870,0.000973,0.109121,0.055350
3880,0.000955,0.111909,0.057998
3890,0.000921,0.109388,0.055577
3900,0.000954,0.111675,0.056652
3910,0.001060,0.115459,0.056416
3920,0.000967,0.113111,0.057268
3930,0.000961,0.112879,0.057499
3940,0.000921,0.113386,0.057604
3950,0.000972,0.115642,0.058707
3960,0.000979,0.114568,0.058864
3970,0.001012,0.115978,0.058129
3980,0.000977,0.115584,0.059007
3990,0.000980,0.114933,0.056953
4000,0.000993,0.118118,0.060559
4010,0.001018,0.119641,0.060403
4020,0.001087,0.118990,0.060561
4030,0.001007,0.119405,0.062787
4040,0.000968,0.118380,0.059996
4050,0.000999,0.121088,0.061078
4060,0.001012,0.123024,0.061361
4070,0.001013,0.122926,0.060882
4080,0.000962,0.122012,0.062292
4090,0.001006,0.123056,0.062490
4100,0.001042,0.124011,0.062812
4110,0.001010,0.125086,0.062522
4120,0.001017,0.124983,0.063944
4130,0.001057,0.126516,0.063212
4140,0.001033,0.124382,0.064012
4150,0.001032,0.129124,0.064372
4160,0.001025,0.129303,0.064632
4170,0.001032,0.127416,0.064973
4180,0.001018,0.129771,0.064695
4190,0.001042,0.129961,0.065998
4200,0.001053,0.128659,0.063892
4210,0.001094,0.130578,0.065088
4220,0.001088,0.130729,0.066196
4230,0.001087,0.132415,0.067521
4240,0.001066,0.135109,0.067373
4250,0.001084,0.133412,0.067993
4260,0.001069,0.135515,0.067696
4270,0.001080,0.133958,0.067856
4280,0.001105,0.136921,0.068889
4290,0.001067,0.136463,0.066938
4300,0.001041,0.134972,0.067747
4310,0.001179,0.136607,0.069660
4320,0.001090,0.138350,0.069063
4330,0.001084,0.138332,0.068916
4340,0.001081,0.139696,0.069789
4350,0.001105,0.141452,0.070452
4360,0.001105,0.142907,0.071350
4370,0.001100,0.141818,0.071444
4380,0.001113,0.142363,0.070387
4390,0.001081,0.141185,0.071078
4400,0.001134,0.143780,0.072362
4410,0.001165,0.144109,0.070937
4420,0.001144,0.141815,0.073094
4430,0.001108,0.145479,0.073311
4440,0.001108,0.147660,0.074554
4450,0.001126,0.148406,0.073611
